race_id	date	race_type	around	course_len	weather	ground_state	race_class	place
202306010307	2023-01-08	0	0.0	1800	1	0	2	6
202306010308	2023-01-08	0	0.0	1200	1	0	2	6
202306010309	2023-01-08	1	0.0	1200	1	0	2	6
202306010310	2023-01-08	1	0.0	1600	1	0	4	6
202306010311	2023-01-08	0	0.0	1800	1	0	5	6
202306010312	2023-01-08	1	0.0	1600	1	0	3	6
202307010301	2023-01-08	0	1.0	1800	1	0	1	7
202307010302	2023-01-08	0	1.0	1400	1	0	1	7
202307010303	2023-01-08	0	1.0	1800	1	0	1	7
202307010304	2023-01-08	0	1.0	1200	1	0	0	7
202307010305	2023-01-08	1	1.0	2200	1	0	1	7
202307010306	2023-01-08	1	1.0	2000	1	0	0	7
202307010307	2023-01-08	0	1.0	1200	1	0	2	7
202307010308	2023-01-08	0	1.0	1900	1	0	2	7
202307010309	2023-01-08	0	1.0	1800	1	0	5	7
202307010310	2023-01-08	1	1.0	1400	1	0	4	7
202307010311	2023-01-08	1	1.0	1600	1	0	5	7
202307010312	2023-01-08	1	1.0	1200	1	0	3	7
202306010401	2023-01-09	0	0.0	1200	1	0	1	6
202306010402	2023-01-09	0	0.0	1800	1	0	1	6
202306010403	2023-01-09	0	0.0	1800	1	0	1	6
202306010404	2023-01-09	0	0.0	1200	1	0	0	6
202306010405	2023-01-09	1	0.0	1600	1	0	1	6
202306010406	2023-01-09	0	0.0	1800	1	0	0	6
202306010407	2023-01-09	0	0.0	1800	1	0	2	6
202306010408	2023-01-09	0	0.0	1200	1	0	3	6
202306010409	2023-01-09	0	0.0	2400	1	0	5	6
202306010410	2023-01-09	1	0.0	2200	1	0	4	6
202306010411	2023-01-09	1	0.0	1600	1	0	5	6
202306010412	2023-01-09	1	0.0	2000	1	0	2	6
202307010401	2023-01-09	0	1.0	1800	1	0	1	7
202307010402	2023-01-09	0	1.0	1200	1	0	1	7
202307010403	2023-01-09	0	1.0	1800	1	0	2	7
202307010404	2023-01-09	0	1.0	1400	1	0	2	7
202307010405	2023-01-09	1	1.0	1600	1	0	1	7
202307010406	2023-01-09	1	1.0	1600	1	0	0	7
202307010407	2023-01-09	1	1.0	2000	1	0	1	7
202307010408	2023-01-09	0	1.0	1800	1	0	2	7
202307010409	2023-01-09	0	1.0	1400	1	0	5	7
202307010410	2023-01-09	0	1.0	1800	1	0	4	7
202307010411	2023-01-09	1	1.0	1200	1	0	5	7
202307010412	2023-01-09	1	1.0	2000	1	0	2	7
202306010501	2023-01-14	0	0.0	1200	2	0	1	6
202306010502	2023-01-14	0	0.0	1800	2	0	1	6
202306010503	2023-01-14	0	0.0	1200	0	0	1	6
202306010504	2023-01-14	0	0.0	1800	0	0	0	6
202306010505	2023-01-14	1	0.0	1600	0	0	0	6
202306010506	2023-01-14	1	0.0	2000	3	0	1	6
202306010507	2023-01-14	0	0.0	1200	3	0	2	6
202306010508	2023-01-14	0	0.0	1800	3	0	2	6
202306010509	2023-01-14	1	0.0	1600	3	0	2	6
202306010510	2023-01-14	0	0.0	1800	2	0	4	6
202306010511	2023-01-14	1	0.0	1200	2	2	5	6
202306010512	2023-01-14	1	0.0	2200	2	2	3	6
202307010501	2023-01-14	0	1.0	1200	0	1	1	7
